sheet,row,status,note,recommendation
Philip Karanja,1,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,2,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,3,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,4,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,5,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,7,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,9,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,10,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,13,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,14,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,15,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,50,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,51,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,53,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,54,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,55,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,57,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,58,Weak / off-scope for progressive orientation,"Biographical/career/upbringing material; not clearly about progressive masculinity, gender norms, male accountability, VAWG, or fatherhood as public responsibility.","Replace if you need a strictly progressive content-analysis sample. Keep only if using as background/context, not as a coded snippet."
Philip Karanja,6,Borderline but usable with context,"Connects to fatherhood/parenting/violence context, but the progressive gender-norm signal is indirect.",Can keep if the coding unit includes context; otherwise replace with stronger Girl Dad / VAWG / SGBV excerpts.
Philip Karanja,8,Borderline but usable with context,"Connects to fatherhood/parenting/violence context, but the progressive gender-norm signal is indirect.",Can keep if the coding unit includes context; otherwise replace with stronger Girl Dad / VAWG / SGBV excerpts.
Philip Karanja,11,Borderline but usable with context,"Connects to fatherhood/parenting/violence context, but the progressive gender-norm signal is indirect.",Can keep if the coding unit includes context; otherwise replace with stronger Girl Dad / VAWG / SGBV excerpts.
Philip Karanja,12,Borderline but usable with context,"Connects to fatherhood/parenting/violence context, but the progressive gender-norm signal is indirect.",Can keep if the coding unit includes context; otherwise replace with stronger Girl Dad / VAWG / SGBV excerpts.
Philip Karanja,52,Borderline but usable with context,"Connects to fatherhood/parenting/violence context, but the progressive gender-norm signal is indirect.",Can keep if the coding unit includes context; otherwise replace with stronger Girl Dad / VAWG / SGBV excerpts.
Philip Karanja,56,Borderline but usable with context,"Connects to fatherhood/parenting/violence context, but the progressive gender-norm signal is indirect.",Can keep if the coding unit includes context; otherwise replace with stronger Girl Dad / VAWG / SGBV excerpts.
Eric (Amerix),76,Weak / off-scope for regressive orientation,"Not clearly regressive gender-norm content; mainly employment advice, medical/testosterone advice, or local health-facility politics.","Replace with stronger anti-women, hierarchy, submission, purity/body-count, marriage-control, or #MasculinitySaturday gender-norm post."
Eric (Amerix),92,Weak / off-scope for regressive orientation,"Not clearly regressive gender-norm content; mainly employment advice, medical/testosterone advice, or local health-facility politics.","Replace with stronger anti-women, hierarchy, submission, purity/body-count, marriage-control, or #MasculinitySaturday gender-norm post."
Eric (Amerix),99,Weak / off-scope for regressive orientation,"Not clearly regressive gender-norm content; mainly employment advice, medical/testosterone advice, or local health-facility politics.","Replace with stronger anti-women, hierarchy, submission, purity/body-count, marriage-control, or #MasculinitySaturday gender-norm post."
Eric (Amerix),91,Borderline / not cleanly regressive,"Relevant to men or social issues, but not a clean regressive gender-norm snippet compared with the rest of the Amerix set.",Keep only if you want adjacent public-health/young-men/manhood training material; replace if the tab should be strictly regressive.
Eric (Amerix),95,Borderline / not cleanly regressive,"Relevant to men or social issues, but not a clean regressive gender-norm snippet compared with the rest of the Amerix set.",Keep only if you want adjacent public-health/young-men/manhood training material; replace if the tab should be strictly regressive.
Eric (Amerix),96,Borderline / not cleanly regressive,"Relevant to men or social issues, but not a clean regressive gender-norm snippet compared with the rest of the Amerix set.",Keep only if you want adjacent public-health/young-men/manhood training material; replace if the tab should be strictly regressive.
Andrew Kibe,39,Weak / off-scope for regressive orientation,"Generic mastery, personal story, race/immigration, discipline, politics, or competition material; not clearly anti-women/traditional gender hierarchy.","Replace with stronger Kibe material on women, marriage, fatherhood hierarchy, emotional suppression, sexual entitlement, or female control."
Andrew Kibe,40,Weak / off-scope for regressive orientation,"Generic mastery, personal story, race/immigration, discipline, politics, or competition material; not clearly anti-women/traditional gender hierarchy.","Replace with stronger Kibe material on women, marriage, fatherhood hierarchy, emotional suppression, sexual entitlement, or female control."
Andrew Kibe,42,Weak / off-scope for regressive orientation,"Generic mastery, personal story, race/immigration, discipline, politics, or competition material; not clearly anti-women/traditional gender hierarchy.","Replace with stronger Kibe material on women, marriage, fatherhood hierarchy, emotional suppression, sexual entitlement, or female control."
Andrew Kibe,59,Weak / off-scope for regressive orientation,"Generic mastery, personal story, race/immigration, discipline, politics, or competition material; not clearly anti-women/traditional gender hierarchy.","Replace with stronger Kibe material on women, marriage, fatherhood hierarchy, emotional suppression, sexual entitlement, or female control."
Andrew Kibe,60,Weak / off-scope for regressive orientation,"Generic mastery, personal story, race/immigration, discipline, politics, or competition material; not clearly anti-women/traditional gender hierarchy.","Replace with stronger Kibe material on women, marriage, fatherhood hierarchy, emotional suppression, sexual entitlement, or female control."
Andrew Kibe,69,Weak / off-scope for regressive orientation,"Generic mastery, personal story, race/immigration, discipline, politics, or competition material; not clearly anti-women/traditional gender hierarchy.","Replace with stronger Kibe material on women, marriage, fatherhood hierarchy, emotional suppression, sexual entitlement, or female control."
Andrew Kibe,76,Weak / off-scope for regressive orientation,"Generic mastery, personal story, race/immigration, discipline, politics, or competition material; not clearly anti-women/traditional gender hierarchy.","Replace with stronger Kibe material on women, marriage, fatherhood hierarchy, emotional suppression, sexual entitlement, or female control."
Andrew Kibe,77,Weak / off-scope for regressive orientation,"Generic mastery, personal story, race/immigration, discipline, politics, or competition material; not clearly anti-women/traditional gender hierarchy.","Replace with stronger Kibe material on women, marriage, fatherhood hierarchy, emotional suppression, sexual entitlement, or female control."
Andrew Kibe,78,Weak / off-scope for regressive orientation,"Generic mastery, personal story, race/immigration, discipline, politics, or competition material; not clearly anti-women/traditional gender hierarchy.","Replace with stronger Kibe material on women, marriage, fatherhood hierarchy, emotional suppression, sexual entitlement, or female control."
Andrew Kibe,38,Borderline,Fits a broader self-reliance/dominance worldview but not directly progressive/regressive gender norm content.,Keep if you want broader worldview context; replace if every snippet must code cleanly on gender/masculinity.
Andrew Kibe,74,Borderline,Fits a broader self-reliance/dominance worldview but not directly progressive/regressive gender norm content.,Keep if you want broader worldview context; replace if every snippet must code cleanly on gender/masculinity.
Andrew Kibe,81,Borderline,Fits a broader self-reliance/dominance worldview but not directly progressive/regressive gender norm content.,Keep if you want broader worldview context; replace if every snippet must code cleanly on gender/masculinity.
Onyango Otieno (Rixpoet),5,Borderline but not opposite orientation,Progressive/vulnerability signal is weaker or more contextual than most Onyango excerpts.,"Can keep as context; replace with stronger rows on trauma, men’s emotional life, fatherhood, male survivors, or healing communities if sample needs tightening."
Onyango Otieno (Rixpoet),36,Borderline but not opposite orientation,Progressive/vulnerability signal is weaker or more contextual than most Onyango excerpts.,"Can keep as context; replace with stronger rows on trauma, men’s emotional life, fatherhood, male survivors, or healing communities if sample needs tightening."
Onyango Otieno (Rixpoet),88,Borderline but not opposite orientation,Progressive/vulnerability signal is weaker or more contextual than most Onyango excerpts.,"Can keep as context; replace with stronger rows on trauma, men’s emotional life, fatherhood, male survivors, or healing communities if sample needs tightening."
Onyango Otieno (Rixpoet),95,Borderline but not opposite orientation,Progressive/vulnerability signal is weaker or more contextual than most Onyango excerpts.,"Can keep as context; replace with stronger rows on trauma, men’s emotional life, fatherhood, male survivors, or healing communities if sample needs tightening."
Eddy Kimani,22,Borderline but not opposite orientation,General resilience/career/humility content; links to men’s mental health only through surrounding context.,"Keep if context is available; otherwise replace with stronger rows on male emotional suppression, fatherhood, depression, suicide, provider pressure, or safe spaces."
Eddy Kimani,46,Borderline but not opposite orientation,General resilience/career/humility content; links to men’s mental health only through surrounding context.,"Keep if context is available; otherwise replace with stronger rows on male emotional suppression, fatherhood, depression, suicide, provider pressure, or safe spaces."
Eddy Kimani,49,Borderline but not opposite orientation,General resilience/career/humility content; links to men’s mental health only through surrounding context.,"Keep if context is available; otherwise replace with stronger rows on male emotional suppression, fatherhood, depression, suicide, provider pressure, or safe spaces."
Eddy Kimani,50,Borderline but not opposite orientation,General resilience/career/humility content; links to men’s mental health only through surrounding context.,"Keep if context is available; otherwise replace with stronger rows on male emotional suppression, fatherhood, depression, suicide, provider pressure, or safe spaces."
Eddy Kimani,54,Borderline but not opposite orientation,General resilience/career/humility content; links to men’s mental health only through surrounding context.,"Keep if context is available; otherwise replace with stronger rows on male emotional suppression, fatherhood, depression, suicide, provider pressure, or safe spaces."
